segment,node_type,post_id,comment_id,source,labels,text_orig,keywords
network driver update,1,post101,,0,set(),Network driver update causes video buffering issues,"{'network', 'video', 'update', 'driver', 'cause', 'buffer'}"
stream buffer instal video stream buffer,0,post101,,1,set(),Video streams keep buffering after I installed the latest Wi-Fi driver.,"{'wifi', 'instal', 'video', 'stream', 'latest', 'driver', 'buffer'}"
latest wifi driver,2,post101,,1,set(),Video streams keep buffering after I installed the latest Wi-Fi driver.,"{'wifi', 'instal', 'video', 'stream', 'latest', 'driver', 'buffer'}"
disable vpn connections,0,post102,,0,{'protocol'},Network driver update disables VPN connections,"{'connections', 'disable', 'update', 'vpn', 'driver'}"
driver update disable,2,post102,,0,{'protocol'},Network driver update disables VPN connections,"{'connections', 'disable', 'update', 'vpn', 'driver'}"
network driver connect,0,post102,,1,{'protocol'},"After updating my network driver, I can't connect to VPN anymore.","{'network', 'anymore', 'connect', 'vpn', 'driver'}"
connect vpn anymore,0,post102,,1,{'protocol'},"After updating my network driver, I can't connect to VPN anymore.","{'network', 'anymore', 'connect', 'vpn', 'driver'}"
wifi doesnt auto reconnect,0,post103,,1,{'device'},My laptop doesn't auto reconnect to saved Wi-Fi networks after updating the driver.,"{'save', 'wifi', 'auto', 'doesnt', 'reconnect'}"
auto reconnect save reconnect save,2,post103,,1,{'device'},My laptop doesn't auto reconnect to saved Wi-Fi networks after updating the driver.,"{'save', 'wifi', 'auto', 'doesnt', 'reconnect'}"
driver update disable,0,post104,,0,{'network_concept'},Ethernet driver update disables LAN sharing,"{'lan', 'disable', 'update', 'driver', 'ethernet'}"
update disable lan ethernet driver update,2,post104,,0,{'network_concept'},Ethernet driver update disables LAN sharing,"{'lan', 'disable', 'update', 'driver', 'ethernet'}"
update ethernet driver,0,post104,,1,{'network_concept'},"Since updating my Ethernet driver, my PC can't share files over LAN.","{'pc', 'lan', 'update', 'share', 'driver', 'file', 'ethernet'}"
share file lan,2,post104,,1,{'network_concept'},"Since updating my Ethernet driver, my PC can't share files over LAN.","{'pc', 'lan', 'update', 'share', 'driver', 'file', 'ethernet'}"
ethernet driver pc,1,post104,,1,{'network_concept'},"Since updating my Ethernet driver, my PC can't share files over LAN.","{'pc', 'lan', 'update', 'share', 'driver', 'file', 'ethernet'}"
limit connectivity,0,post105,,0,set(),Network driver update causes limited connectivity,"{'connectivity', 'network', 'limit', 'update', 'driver', 'cause'}"
network driver update cause,1,post105,,0,set(),Network driver update causes limited connectivity,"{'connectivity', 'network', 'limit', 'update', 'driver', 'cause'}"
limit connectivity,0,post105,,1,set(),"After a network driver update, I get ‘limited connectivity’ on Wi-Fi.","{'connectivity', 'network', 'limit', 'update', 'driver'}"
network driver update,2,post105,,1,set(),"After a network driver update, I get ‘limited connectivity’ on Wi-Fi.","{'connectivity', 'network', 'limit', 'update', 'driver'}"
packet loss,0,post106,,0,set(),New network driver causes packet loss during streaming,"{'packet', 'network', 'loss', 'stream', 'driver', 'cause'}"
network driver cause,1,post106,,0,set(),New network driver causes packet loss during streaming,"{'packet', 'network', 'loss', 'stream', 'driver', 'cause'}"
stream driver cause,1,post106,,0,set(),New network driver causes packet loss during streaming,"{'packet', 'network', 'loss', 'stream', 'driver', 'cause'}"
break hotspot functionality,0,post107,,0,set(),Network driver update breaks hotspot functionality,"{'break', 'functionality', 'network', 'hotspot', 'update', 'driver'}"
network driver update,1,post107,,0,set(),Network driver update breaks hotspot functionality,"{'break', 'functionality', 'network', 'hotspot', 'update', 'driver'}"
hotspot feature stop pc,0,post107,,1,set(),"After updating my Wi-Fi driver, my PC hotspot feature stopped working.","{'wifi', 'feature', 'hotspot', 'stop', 'update', 'pc', 'driver'}"
hotspot feature update,1,post107,,1,set(),"After updating my Wi-Fi driver, my PC hotspot feature stopped working.","{'wifi', 'feature', 'hotspot', 'stop', 'update', 'pc', 'driver'}"
wifi driver,2,post107,,1,set(),"After updating my Wi-Fi driver, my PC hotspot feature stopped working.","{'wifi', 'feature', 'hotspot', 'stop', 'update', 'pc', 'driver'}"
vpns cause issue,0,post001,c001,2,set(),VPNs often cause issues with specific sites. Try turning it off and check again.,"{'sit', 'specific', 'vpns', 'try', 'turn', 'issue', 'cause', 'check'}"
try turn check issue,2,post001,c001,2,set(),VPNs often cause issues with specific sites. Try turning it off and check again.,"{'sit', 'specific', 'vpns', 'try', 'turn', 'issue', 'cause', 'check'}"
specific sit,1,post001,c001,2,set(),VPNs often cause issues with specific sites. Try turning it off and check again.,"{'sit', 'specific', 'vpns', 'try', 'turn', 'issue', 'cause', 'check'}"
router far wall wall block signal,0,post002,c003,2,{'device'},Your router might be too far or there could be walls blocking the signal. Consider adding a repeater or relocating the router.,"{'signal', 'wall', 'repeater', 'router', 'far', 'block', 'relocate'}"
repeater relocate router,2,post002,c003,2,{'device'},Your router might be too far or there could be walls blocking the signal. Consider adding a repeater or relocating the router.,"{'signal', 'wall', 'repeater', 'router', 'far', 'block', 'relocate'}"
dns problems,0,post003,c004,2,"{'protocol', 'ip_address', 'ip', 'network_concept'}",Sounds like DNS problems. Try switching your DNS server to 8.8.8.8 or 1.1.1.1.,"{'like', 'try', 'dns', 'problems', 'switch'}"
try switch dns,2,post003,c004,2,"{'protocol', 'ip_address', 'ip', 'network_concept'}",Sounds like DNS problems. Try switching your DNS server to 8.8.8.8 or 1.1.1.1.,"{'like', 'try', 'dns', 'problems', 'switch'}"
conflict dns issue,0,post004,c005,2,{'protocol'},This often happens because of IP conflicts or DNS issues. Try reconnecting to the network.,"{'issue', 'dns', 'conflict'}"
obstacles distance router,0,post005,c007,2,{'device'},Physical obstacles or distance to router can degrade signal. Try moving back or using a repeater.,"{'degrade', 'router', 'distance', 'obstacles'}"
distance router degrade,1,post005,c007,2,{'device'},Physical obstacles or distance to router can degrade signal. Try moving back or using a repeater.,"{'degrade', 'router', 'distance', 'obstacles'}"
wifi isolation enable guest wifi,0,post006,c010,2,set(),"Sometimes routers have guest Wi-Fi isolation enabled, blocking internet.","{'wifi', 'routers', 'enable', 'isolation', 'guest'}"
isolation routers,1,post006,c010,2,set(),"Sometimes routers have guest Wi-Fi isolation enabled, blocking internet.","{'wifi', 'routers', 'enable', 'isolation', 'guest'}"
guest wifi,2,post006,c010,2,set(),"Sometimes routers have guest Wi-Fi isolation enabled, blocking internet.","{'wifi', 'routers', 'enable', 'isolation', 'guest'}"
servers cause drop,0,post007,c011,2,"{'protocol', 'device'}","Try changing the VPN server or protocol, sometimes overloaded servers cause drops.","{'change', 'servers', 'drop', 'server', 'vpn', 'cause'}"
change vpn server,1,post007,c011,2,"{'protocol', 'device'}","Try changing the VPN server or protocol, sometimes overloaded servers cause drops.","{'change', 'servers', 'drop', 'server', 'vpn', 'cause'}"
vpn connections,0,post007,c012,2,"{'protocol', 'device'}",Check if your firewall or antivirus is interfering with VPN connections.,"{'antivirus', 'interfere', 'connections', 'firewall', 'vpn'}"
firewall antivirus interfere,1,post007,c012,2,"{'protocol', 'device'}",Check if your firewall or antivirus is interfering with VPN connections.,"{'antivirus', 'interfere', 'connections', 'firewall', 'vpn'}"
background update,0,post008,c013,2,{'device'},Check for background updates or malware on your laptop.,"{'update', 'laptop', 'malware', 'background'}"
malware,1,post008,c013,2,{'device'},Check for background updates or malware on your laptop.,"{'update', 'laptop', 'malware', 'background'}"
update malware laptop,2,post008,c013,2,{'device'},Check for background updates or malware on your laptop.,"{'update', 'laptop', 'malware', 'background'}"
try update network,2,post008,c014,2,set(),Try updating your network adapter drivers or resetting network settings.,"{'reset', 'network', 'try', 'update', 'settings'}"
reset network settings,2,post008,c014,2,set(),Try updating your network adapter drivers or resetting network settings.,"{'reset', 'network', 'try', 'update', 'settings'}"
check firewall rule,0,post010,c016,2,"{'protocol', 'device'}",You might need to connect via VPN or check if firewall rules block access.,"{'rule', 'firewall', 'connect', 'vpn', 'check'}"
connect vpn check,2,post010,c016,2,"{'protocol', 'device'}",You might need to connect via VPN or check if firewall rules block access.,"{'rule', 'firewall', 'connect', 'vpn', 'check'}"
unstable wifi,0,post012,c018,2,{'configuration_setting'},Could be unstable Wi-Fi or MTU size issues. Try using wired connection.,"{'wifi', 'mtu', 'size', 'unstable', 'issue'}"
mtu mtu size issue,1,post012,c018,2,{'configuration_setting'},Could be unstable Wi-Fi or MTU size issues. Try using wired connection.,"{'wifi', 'mtu', 'size', 'unstable', 'issue'}"
interference poor signal,0,post013,c019,2,set(),Wi-Fi interference or poor signal can cause audio problems. Try switching bands or moving closer.,"{'signal', 'audio', 'poor', 'interference', 'cause'}"
signal cause audio,1,post013,c019,2,set(),Wi-Fi interference or poor signal can cause audio problems. Try switching bands or moving closer.,"{'signal', 'audio', 'poor', 'interference', 'cause'}"
obstacles distance router,0,post014,c020,2,{'device'},Physical obstacles or distance to router can degrade signal. Try moving back or using a repeater.,"{'degrade', 'router', 'distance', 'obstacles'}"
distance router degrade,1,post014,c020,2,{'device'},Physical obstacles or distance to router can degrade signal. Try moving back or using a repeater.,"{'degrade', 'router', 'distance', 'obstacles'}"
try reconnecting vpn,2,post015,c022,2,{'protocol'},Try reconnecting the VPN or check your VPN profile and permissions.,"{'reconnecting', 'try', 'profile', 'vpn', 'check'}"
check vpn profile,2,post015,c022,2,{'protocol'},Try reconnecting the VPN or check your VPN profile and permissions.,"{'reconnecting', 'try', 'profile', 'vpn', 'check'}"
overheat,0,post016,c023,2,set(),Overheating or firmware bugs could cause this. Check logs and update firmware.,"{'log', 'firmware', 'bug', 'update', 'overheat'}"
firmware bug,1,post016,c023,2,set(),Overheating or firmware bugs could cause this. Check logs and update firmware.,"{'log', 'firmware', 'bug', 'update', 'overheat'}"
log update firmware,2,post016,c023,2,set(),Overheating or firmware bugs could cause this. Check logs and update firmware.,"{'log', 'firmware', 'bug', 'update', 'overheat'}"
congestion,0,post017,c024,2,set(),Network congestion or ISP throttling during peak hours.,"{'congestion', 'isp', 'hours', 'throttle', 'peak'}"
isp throttle throttle peak hours,1,post017,c024,2,set(),Network congestion or ISP throttling during peak hours.,"{'congestion', 'isp', 'hours', 'throttle', 'peak'}"
firewall block domains,0,post018,c025,2,{'device'},Campus firewall might be blocking those domains.,"{'domains', 'firewall', 'block', 'campus'}"
campus firewall block,1,post018,c025,2,{'device'},Campus firewall might be blocking those domains.,"{'domains', 'firewall', 'block', 'campus'}"
discovery enable firewall,0,post020,c027,2,{'device'},Check if network discovery is enabled and firewall settings.,"{'discovery', 'enable', 'settings', 'firewall'}"
enable firewall settings,2,post020,c027,2,{'device'},Check if network discovery is enabled and firewall settings.,"{'discovery', 'enable', 'settings', 'firewall'}"
cause 4ghz interference microwave,1,post024,c032,2,{'cardinal'},Microwaves cause 2.4GHz interference. Use 5GHz band if possible.,"{'microwave', 'interference', 'cause', '4ghz'}"
cause 4ghz,1,post024,c032,2,{'cardinal'},Microwaves cause 2.4GHz interference. Use 5GHz band if possible.,"{'microwave', 'interference', 'cause', '4ghz'}"
server load,0,post025,c033,2,"{'protocol', 'device'}",VPN server load or encryption overhead could be the cause.,"{'encryption', 'overhead', 'load', 'server', 'cause'}"
encryption encryption overhead,1,post025,c033,2,"{'protocol', 'device'}",VPN server load or encryption overhead could be the cause.,"{'encryption', 'overhead', 'load', 'server', 'cause'}"
cause,2,post025,c033,2,"{'protocol', 'device'}",VPN server load or encryption overhead could be the cause.,"{'encryption', 'overhead', 'load', 'server', 'cause'}"
wifi block certain sit,0,post027,c035,2,{'protocol'},Dorm Wi-Fi might block certain sites or require VPN.,"{'sit', 'wifi', 'certain', 'dorm', 'vpn', 'block', 'require'}"
require vpn,1,post027,c035,2,{'protocol'},Dorm Wi-Fi might block certain sites or require VPN.,"{'sit', 'wifi', 'certain', 'dorm', 'vpn', 'block', 'require'}"
dorm wifi block,0,post027,c035,2,{'protocol'},Dorm Wi-Fi might block certain sites or require VPN.,"{'sit', 'wifi', 'certain', 'dorm', 'vpn', 'block', 'require'}"
port 443 different,0,post029,c037,2,"{'protocol', 'cardinal'}",Try using VPN over port 443 or a different VPN protocol.,"{'different', 'use', 'try', '443', 'vpn', 'port'}"
try use vpn,2,post029,c037,2,"{'protocol', 'cardinal'}",Try using VPN over port 443 or a different VPN protocol.,"{'different', 'use', 'try', '443', 'vpn', 'port'}"
congestion router,0,post030,c038,2,"{'configuration_setting', 'device'}",Could be network congestion or router QoS settings limiting video traffic.,"{'qos', 'router', 'congestion', 'video', 'traffic', 'limit', 'settings'}"
qos limit video traffic,1,post030,c038,2,"{'configuration_setting', 'device'}",Could be network congestion or router QoS settings limiting video traffic.,"{'qos', 'router', 'congestion', 'video', 'traffic', 'limit', 'settings'}"
router qos settings,2,post030,c038,2,"{'configuration_setting', 'device'}",Could be network congestion or router QoS settings limiting video traffic.,"{'qos', 'router', 'congestion', 'video', 'traffic', 'limit', 'settings'}"
try ipconfig release,2,post037,c046,2,"{'protocol', 'tool'}",Check if the Ethernet adapter has a static IP or custom DNS. Also try `ipconfig /release` and `ipconfig /renew` from Command Prompt.,"{'try', 'release', 'custom', 'ipconfig', 'dns'}"
custom dns,2,post037,c046,2,"{'protocol', 'tool'}",Check if the Ethernet adapter has a static IP or custom DNS. Also try `ipconfig /release` and `ipconfig /renew` from Command Prompt.,"{'try', 'release', 'custom', 'ipconfig', 'dns'}"
try dns,2,post037,c046,2,"{'protocol', 'tool'}",Check if the Ethernet adapter has a static IP or custom DNS. Also try `ipconfig /release` and `ipconfig /renew` from Command Prompt.,"{'try', 'release', 'custom', 'ipconfig', 'dns'}"
try ipconfig,2,post037,c046,2,"{'protocol', 'tool'}",Check if the Ethernet adapter has a static IP or custom DNS. Also try `ipconfig /release` and `ipconfig /renew` from Command Prompt.,"{'try', 'release', 'custom', 'ipconfig', 'dns'}"
tunnel check,0,post039,c048,2,"{'protocol', 'network_concept'}",Your VPN might be using full tunneling. Check if 'Use default gateway on remote network' is checked in adapter properties.,"{'use', 'vpn', 'tunnel', 'check'}"
use vpn,2,post039,c048,2,"{'protocol', 'network_concept'}",Your VPN might be using full tunneling. Check if 'Use default gateway on remote network' is checked in adapter properties.,"{'use', 'vpn', 'tunnel', 'check'}"
use tunnel,2,post039,c048,2,"{'protocol', 'network_concept'}",Your VPN might be using full tunneling. Check if 'Use default gateway on remote network' is checked in adapter properties.,"{'use', 'vpn', 'tunnel', 'check'}"
nic driver issue,0,post040,c049,2,set(),"Could be packet shaping or NIC driver issue. Try lowering OBS bitrate, and update your Ethernet driver from manufacturer’s site, not Windows Update.","{'bitrate', 'nic', 'issue', 'update', 'driver', 'ethernet'}"
update ethernet driver,1,post040,c049,2,set(),"Could be packet shaping or NIC driver issue. Try lowering OBS bitrate, and update your Ethernet driver from manufacturer’s site, not Windows Update.","{'bitrate', 'nic', 'issue', 'update', 'driver', 'ethernet'}"
bitrate update ethernet,2,post040,c049,2,set(),"Could be packet shaping or NIC driver issue. Try lowering OBS bitrate, and update your Ethernet driver from manufacturer’s site, not Windows Update.","{'bitrate', 'nic', 'issue', 'update', 'driver', 'ethernet'}"
domains try,0,post041,c050,2,"{'protocol', 'ip', 'tool', 'person'}",Try flushing DNS (`ipconfig /flushdns`) and switching to 8.8.8.8. Some antivirus apps also block domains — try disabling temporarily.,"{'antivirus', 'apps', 'domains', 'try', 'disable', 'flush', 'dns', 'block'}"
disable antivirus apps block,1,post041,c050,2,"{'protocol', 'ip', 'tool', 'person'}",Try flushing DNS (`ipconfig /flushdns`) and switching to 8.8.8.8. Some antivirus apps also block domains — try disabling temporarily.,"{'antivirus', 'apps', 'domains', 'try', 'disable', 'flush', 'dns', 'block'}"
try flush dns,2,post041,c050,2,"{'protocol', 'ip', 'tool', 'person'}",Try flushing DNS (`ipconfig /flushdns`) and switching to 8.8.8.8. Some antivirus apps also block domains — try disabling temporarily.,"{'antivirus', 'apps', 'domains', 'try', 'disable', 'flush', 'dns', 'block'}"
malware domain policy sound like malware,0,post043,c052,2,set(),Sounds like malware or a domain policy. Try checking the 'Internet Settings' in Group Policy Editor and scan with Malwarebytes.,"{'policy', 'sound', 'domain', 'like', 'internet', 'malware', 'settings', 'check'}"
check internet settings,1,post043,c052,2,set(),Sounds like malware or a domain policy. Try checking the 'Internet Settings' in Group Policy Editor and scan with Malwarebytes.,"{'policy', 'sound', 'domain', 'like', 'internet', 'malware', 'settings', 'check'}"
theres captive portal,0,post044,c053,2,{'network_concept'},Try forgetting the network and reconnecting. Also check if your MAC address is blocked or if there's a captive portal you’re missing.,"{'captive', 'forget', 'network', 'portal', 'theres', 'try'}"
try forget network,2,post044,c053,2,{'network_concept'},Try forgetting the network and reconnecting. Also check if your MAC address is blocked or if there's a captive portal you’re missing.,"{'captive', 'forget', 'network', 'portal', 'theres', 'try'}"
reset drive app tls settings enable,2,post045,c054,2,set(),Try resetting the Drive app and clearing cached credentials. Also verify that TLS settings are enabled under Internet Options > Advanced.,"{'reset', 'tls', 'drive', 'app', 'enable', 'settings'}"
nonhttps site disconnectreconnect,0,post047,c056,2,"{'protocol', 'network_concept'}",Sounds like a captive portal or IP conflict. Try opening a non-https site or disconnect/reconnect to force login.,"{'conflict', 'captive', 'portal', 'disconnectreconnect', 'site', 'ip', 'nonhttps'}"
captive portal ip,0,post047,c056,2,"{'protocol', 'network_concept'}",Sounds like a captive portal or IP conflict. Try opening a non-https site or disconnect/reconnect to force login.,"{'conflict', 'captive', 'portal', 'disconnectreconnect', 'site', 'ip', 'nonhttps'}"
portal ip conflict,1,post047,c056,2,"{'protocol', 'network_concept'}",Sounds like a captive portal or IP conflict. Try opening a non-https site or disconnect/reconnect to force login.,"{'conflict', 'captive', 'portal', 'disconnectreconnect', 'site', 'ip', 'nonhttps'}"
mesh wifi extender router placement poor,0,post049,c058,2,{'device'},Sounds like the router placement is poor or there are obstacles. Consider a mesh system or Wi-Fi extender.,"{'placement', 'router', 'wifi', 'mesh', 'poor', 'extender'}"
firewall block domains,0,post050,c059,2,"{'protocol', 'device', 'ip'}",Could be DNS or firewall blocking those domains. Try switching to public DNS like 8.8.8.8.,"{'domains', 'try', 'firewall', 'public', 'dns', 'block', 'switch'}"
switch public dns domains,1,post050,c059,2,"{'protocol', 'device', 'ip'}",Could be DNS or firewall blocking those domains. Try switching to public DNS like 8.8.8.8.,"{'domains', 'try', 'firewall', 'public', 'dns', 'block', 'switch'}"
try switch,2,post050,c059,2,"{'protocol', 'device', 'ip'}",Could be DNS or firewall blocking those domains. Try switching to public DNS like 8.8.8.8.,"{'domains', 'try', 'firewall', 'public', 'dns', 'block', 'switch'}"
issue ip conflict,0,post051,c060,2,"{'protocol', 'network_concept'}",This could be a DHCP issue or IP conflict. Try releasing and renewing your IP.,"{'issue', 'ip', 'conflict', 'dhcp'}"
dhcp issue ip,1,post051,c060,2,"{'protocol', 'network_concept'}",This could be a DHCP issue or IP conflict. Try releasing and renewing your IP.,"{'issue', 'ip', 'conflict', 'dhcp'}"
different vpn server,0,post052,c061,2,"{'protocol', 'device'}","Try switching to a different VPN server or protocol, and check for antivirus interference.","{'antivirus', 'different', 'interference', 'server', 'vpn', 'check'}"
check antivirus interference,1,post052,c061,2,"{'protocol', 'device'}","Try switching to a different VPN server or protocol, and check for antivirus interference.","{'antivirus', 'different', 'interference', 'server', 'vpn', 'check'}"
congestion,0,post055,c064,2,set(),Likely network congestion or ISP throttling during peak times.,"{'isp', 'throttle', 'congestion'}"
isp throttle,1,post055,c064,2,set(),Likely network congestion or ISP throttling during peak times.,"{'isp', 'throttle', 'congestion'}"
switch ghz ghz band,0,post056,c065,2,{'cardinal'},"Try switching between 2.4 GHz and 5 GHz bands, or check for interference.","{'ghz', 'switch', 'interference', 'band', 'check'}"
check interference,1,post056,c065,2,{'cardinal'},"Try switching between 2.4 GHz and 5 GHz bands, or check for interference.","{'ghz', 'switch', 'interference', 'band', 'check'}"
ip trigger portal,0,post057,c066,2,"{'protocol', 'device', 'url'}",Try opening a non-https site like http://neverssl.com or manually enter the router IP to trigger the portal.,"{'manually', 'router', 'portal', 'trigger', 'open', 'site', 'ip', 'nonhttps', 'enter'}"
manually enter router,1,post057,c066,2,"{'protocol', 'device', 'url'}",Try opening a non-https site like http://neverssl.com or manually enter the router IP to trigger the portal.,"{'manually', 'router', 'portal', 'trigger', 'open', 'site', 'ip', 'nonhttps', 'enter'}"
open nonhttps site,2,post057,c066,2,"{'protocol', 'device', 'url'}",Try opening a non-https site like http://neverssl.com or manually enter the router IP to trigger the portal.,"{'manually', 'router', 'portal', 'trigger', 'open', 'site', 'ip', 'nonhttps', 'enter'}"
try change vpn vpn protocol,0,post058,c067,2,"{'protocol', 'device'}",Check if your VPN is set to use a far server location or try changing VPN protocol to improve speed.,"{'protocol', 'use', 'change', 'far', 'improve', 'try', 'server', 'vpn'}"
improve change vpn use far server,2,post058,c067,2,"{'protocol', 'device'}",Check if your VPN is set to use a far server location or try changing VPN protocol to improve speed.,"{'protocol', 'use', 'change', 'far', 'improve', 'try', 'server', 'vpn'}"
interference network congestion,0,post059,c068,2,{'malware'},Could be interference or network congestion; try switching to a wired connection or different Wi-Fi channel.,"{'connection', 'different', 'channel', 'congestion', 'wifi', 'network', 'interference'}"
connection different wifi,1,post059,c068,2,{'malware'},Could be interference or network congestion; try switching to a wired connection or different Wi-Fi channel.,"{'connection', 'different', 'channel', 'congestion', 'wifi', 'network', 'interference'}"
different wifi channel,2,post059,c068,2,{'malware'},Could be interference or network congestion; try switching to a wired connection or different Wi-Fi channel.,"{'connection', 'different', 'channel', 'congestion', 'wifi', 'network', 'interference'}"
network adapter sleep,0,post060,c069,2,"{'protocol', 'device'}",Adjust your power settings to prevent the network adapter from sleeping or check VPN client auto-reconnect options.,"{'client', 'network', 'prevent', 'power', 'sleep', 'adapter', 'vpn', 'autoreconnect', 'settings', 'check'}"
power settings prevent,1,post060,c069,2,"{'protocol', 'device'}",Adjust your power settings to prevent the network adapter from sleeping or check VPN client auto-reconnect options.,"{'client', 'network', 'prevent', 'power', 'sleep', 'adapter', 'vpn', 'autoreconnect', 'settings', 'check'}"
check vpn client autoreconnect,2,post060,c069,2,"{'protocol', 'device'}",Adjust your power settings to prevent the network adapter from sleeping or check VPN client auto-reconnect options.,"{'client', 'network', 'prevent', 'power', 'sleep', 'adapter', 'vpn', 'autoreconnect', 'settings', 'check'}"
clear dns cache,0,post061,c070,2,{'protocol'},Try clearing your DNS cache or switching to a different DNS provider like Google DNS.,"{'clear', 'different', 'google', 'dns', 'switch', 'cache'}"
different dns,1,post061,c070,2,{'protocol'},Try clearing your DNS cache or switching to a different DNS provider like Google DNS.,"{'clear', 'different', 'google', 'dns', 'switch', 'cache'}"
dns cache switch google dns,2,post061,c070,2,{'protocol'},Try clearing your DNS cache or switching to a different DNS provider like Google DNS.,"{'clear', 'different', 'google', 'dns', 'switch', 'cache'}"
split tunnel enable,2,post062,c071,2,{'protocol'},Check if split tunneling is enabled or if your VPN profile has access rights to internal resources.,"{'tunnel', 'split', 'enable', 'profile', 'vpn'}"
enable vpn profile,2,post062,c071,2,{'protocol'},Check if split tunneling is enabled or if your VPN profile has access rights to internal resources.,"{'tunnel', 'split', 'enable', 'profile', 'vpn'}"
powersaving feature wireless wifi,0,post063,c072,2,set(),Update your Wi-Fi drivers and disable any power-saving features on the wireless adapter.,"{'wireless', 'powersaving', 'wifi', 'feature', 'disable', 'drivers'}"
drivers disable,2,post063,c072,2,set(),Update your Wi-Fi drivers and disable any power-saving features on the wireless adapter.,"{'wireless', 'powersaving', 'wifi', 'feature', 'disable', 'drivers'}"
drivers disable,2,post063,c072,2,set(),Update your Wi-Fi drivers and disable any power-saving features on the wireless adapter.,"{'wireless', 'powersaving', 'wifi', 'feature', 'disable', 'drivers'}"
create hotspot connect hotspot connect request,0,post064,c073,2,{'device'},"You can use your laptop to create a hotspot after connecting, or request the hotel to allow multiple devices.","{'create', 'multiple', 'hotspot', 'devices', 'connect', 'request', 'allow'}"
allow multiple devices,2,post064,c073,2,{'device'},"You can use your laptop to create a hotspot after connecting, or request the hotel to allow multiple devices.","{'create', 'multiple', 'hotspot', 'devices', 'connect', 'request', 'allow'}"
encryption overhead slow,0,post065,c074,2,"{'protocol', 'device'}",VPN encryption overhead can slow transfers; try a faster VPN server or adjust transfer protocol settings.,"{'slow', 'encryption', 'overhead', 'server', 'faster', 'vpn'}"
faster vpn server,1,post065,c074,2,"{'protocol', 'device'}",VPN encryption overhead can slow transfers; try a faster VPN server or adjust transfer protocol settings.,"{'slow', 'encryption', 'overhead', 'server', 'faster', 'vpn'}"
try renew ip,0,post066,c075,2,"{'protocol', 'device'}",Try renewing your IP lease or rebooting your router; also check if DHCP is enabled on the router.,"{'router', 'dhcp', 'try', 'renew', 'enable', 'reboot', 'ip', 'lease', 'check'}"
dhcp enable router,1,post066,c075,2,"{'protocol', 'device'}",Try renewing your IP lease or rebooting your router; also check if DHCP is enabled on the router.,"{'router', 'dhcp', 'try', 'renew', 'enable', 'reboot', 'ip', 'lease', 'check'}"
check dhcp enable lease reboot router,2,post066,c075,2,"{'protocol', 'device'}",Try renewing your IP lease or rebooting your router; also check if DHCP is enabled on the router.,"{'router', 'dhcp', 'try', 'renew', 'enable', 'reboot', 'ip', 'lease', 'check'}"
free wifi longer,0,post067,c078,2,set(),"If you need free Wi-Fi for longer, maybe tether from your phone instead, to avoid these extra charges.","{'longer', 'wifi', 'instead', 'tether', 'phone', 'free'}"
tether phone instead,1,post067,c078,2,set(),"If you need free Wi-Fi for longer, maybe tether from your phone instead, to avoid these extra charges.","{'longer', 'wifi', 'instead', 'tether', 'phone', 'free'}"
change vpn servers,2,post068,c079,2,{'protocol'},Try changing VPN servers or use a stealth VPN protocol to avoid location detection.,"{'protocol', 'use', 'change', 'servers', 'avoid', 'stealth', 'vpn'}"
use stealth vpn,2,post068,c079,2,{'protocol'},Try changing VPN servers or use a stealth VPN protocol to avoid location detection.,"{'protocol', 'use', 'change', 'servers', 'avoid', 'stealth', 'vpn'}"
vpn protocol avoid,2,post068,c079,2,{'protocol'},Try changing VPN servers or use a stealth VPN protocol to avoid location detection.,"{'protocol', 'use', 'change', 'servers', 'avoid', 'stealth', 'vpn'}"
use gps location set match vpn gps location settings,0,post068,c080,2,{'protocol'},Some games use GPS or system location settings; make sure those are disabled or set to match the VPN.,"{'gps', 'location', 'use', 'match', 'set', 'vpn', 'settings'}"
slow apps run,0,post069,c084,2,set(),I also noticed that some apps run updates in background which slow down speed on some devices.,"{'slow', 'apps', 'run', 'speed', 'background', 'update'}"
update background,1,post069,c084,2,set(),I also noticed that some apps run updates in background which slow down speed on some devices.,"{'slow', 'apps', 'run', 'speed', 'background', 'update'}"
update background slow speed,2,post069,c084,2,set(),I also noticed that some apps run updates in background which slow down speed on some devices.,"{'slow', 'apps', 'run', 'speed', 'background', 'update'}"
unstable internet,0,post070,c085,2,"{'protocol', 'device'}",This might be due to VPN server overload or unstable internet; try switching servers or protocols.,"{'internet', 'overload', 'unstable', 'server', 'vpn'}"
vpn server overload overload,1,post070,c085,2,"{'protocol', 'device'}",This might be due to VPN server overload or unstable internet; try switching servers or protocols.,"{'internet', 'overload', 'unstable', 'server', 'vpn'}"
throttle vpn traffic vpn traffic different,0,post070,c086,2,{'protocol'},Check if your ISP throttles VPN traffic; a different VPN provider or protocol might help.,"{'different', 'isp', 'throttle', 'traffic', 'vpn', 'check'}"
check isp throttle,1,post070,c086,2,{'protocol'},Check if your ISP throttles VPN traffic; a different VPN provider or protocol might help.,"{'different', 'isp', 'throttle', 'traffic', 'vpn', 'check'}"
strong signal doesnt,0,post071,c088,2,set(),Strong signal doesn’t always mean good speed. Check for network congestion or ISP throttling.,"{'signal', 'congestion', 'isp', 'strong', 'throttle', 'doesnt'}"
